time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,FPAR_RS,fPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,NDWI_anom_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,CO2_RS,C4_percent_RS,elevation_RS,month_RS,VegH_RS,MI_RS,x_coord,y_coord
2019-01-15,-0.49340752249591446,201.2611276835666,114.14979324263723,114.14979324263723,26.669430544354835,0.1691342089952957,84.35829076094905,485.99999800000006,160.19446994492756,104.56912063177073,25.756375329762108,217.16026105772895,388.1728883736559,411.5856371413657,5.598826713623146,0.4186583,0.9985559,39.686455,0.66062456,32.190002,39.294964,52.34976,9.299571,3.8292484,10.0,-0.07484076,2.1358438,436.75912,0.9348483,0.73040473,0.7250552,0.7444704,20.649763,1.0429894,11.389208,28.360754,1.022687,1.8483394,405.904,89.09971,220.944,1.0,6.6514645,1.205915,130.7945459,-13.17904178
2019-02-15,-12.08442698634526,181.24074694438212,104.32351203598648,104.32351203598648,27.266697849702382,0.13764616030505955,80.75187657575121,91.19999999999999,154.41399015721368,105.8069482190379,27.037006881878423,223.2544205815729,384.23191659226194,405.69259283303757,7.142236378222235,0.45307082,1.0308146,55.70434,0.681147,33.862,39.294964,52.34976,9.299571,5.3875237,10.0,-0.078979395,2.3025668,184.67876,0.44958234,0.57937896,0.6511623,0.6534615,22.425379,1.1104139,13.380651,28.474476,1.0326761,1.8483394,405.838,89.09971,220.944,2.0,6.6514645,0.47470704,130.7945459,-13.17904178
2019-03-15,-13.1712277584864,196.17124527816463,122.28858600693086,122.28858600693086,27.44907117520682,0.11703276038642473,78.53058792100092,38.0,151.50497429039723,112.0248187823348,31.759901737440487,220.55809151326048,381.32451068167353,411.4766860509007,8.054286420184928,0.42358255,0.97041756,57.60287,0.6892536,32.73001,39.294964,52.34976,9.299571,4.2118187,10.0,-0.08917054,2.0699,157.49205,0.62783444,0.6900355,0.65038806,0.63640434,21.92245,1.0589046,14.553123,28.518192,1.0263394,1.8483394,405.974,89.09971,220.944,3.0,6.6514645,0.7837291,130.7945459,-13.17904178
2019-04-15,0.6098593039307145,172.31004167708537,123.98024645233284,123.98024645233284,27.099917208333338,0.12384028967708333,67.33666804189829,73.00000000000001,143.20661582701615,117.36031353990887,26.253686415260006,216.9780409423425,369.8148770833334,408.5302138595191,11.99905979933262,0.41350812,1.0390468,56.283165,0.663124,34.62268,39.294964,52.34976,9.299571,7.2210636,10.0,-0.09660197,1.3499238,55.715755,0.64711154,0.532128,0.6433612,0.63628536,21.496092,0.97158927,17.847492,27.401617,1.0038105,1.8483394,406.381,89.09971,220.944,4.0,6.6514645,0.23687965,130.7945459,-13.17904178
2019-05-15,-7.3076324115357965,157.33029159041706,104.86818682748395,104.86818682748395,25.76058087365591,0.08601090295026881,54.942911143826805,38.0,123.51725335159061,96.06652598563123,22.29743169315655,205.38876974321443,352.73628850806455,407.1728414064115,15.263973033793672,0.38116178,1.1491821,53.12946,0.60513073,32.581116,39.294964,52.34976,9.299571,7.0572166,10.0,-0.10047571,0.9710038,56.72272,2.436032,0.7493207,0.6138318,0.6661017,19.835814,0.9762048,20.762526,25.5239,1.0073551,1.8483394,406.887,89.09971,220.944,5.0,6.6514645,0.059604812,130.7945459,-13.17904178
2019-06-15,-20.135456810144834,124.0209756987974,79.37136802401596,79.37136802401596,23.401338125000002,0.03654627735069445,43.5189134732563,0.2,111.19639459979307,75.13332892890647,30.56537739666093,212.0932098922167,324.685247451269,406.21338598416384,16.56000874608147,0.32280284,1.1364368,52.27352,0.5245735,33.245483,39.294964,52.34976,9.299571,10.241905,10.0,-0.13252193,1.0663935,0.31168225,0.44155762,1.0241644,0.7197262,0.66615105,19.685131,1.0085944,22.812868,23.003578,0.9852717,1.8483394,407.419,89.09971,220.944,6.0,6.6514645,0.004395898,130.7945459,-13.17904178
2019-07-15,-5.539436005087095,110.71111160127666,71.07256119809809,71.07256119809809,23.91578434811828,0.02741358214717742,49.530645461499965,0.2,115.86730301143818,65.10739103780371,46.853534108250166,221.19520436432794,324.6238404569892,409.8409820284096,15.273993671110983,0.27332208,1.1795764,49.980587,0.44722733,34.668518,39.294964,52.34976,9.299571,11.658777,10.0,-0.15412202,1.1247697,0.9893681,0.5192321,2.240629,0.5893182,0.66616356,20.518435,1.0173991,22.69403,23.00974,0.9898153,1.8483394,408.011,89.09971,220.944,7.0,6.6514645,0.009093728,130.7945459,-13.17904178
2019-08-15,-0.8796472798778237,101.9502180117586,64.07586424744254,64.07586424744254,24.34683644489247,0.021579687348790323,46.60211080854866,0.0,123.93774162491935,58.69793179417751,63.26014259540227,237.981610701418,324.30883149132046,407.20120700785776,16.593876451426585,0.2309342,1.2160951,44.72621,0.390338,37.20999,39.294964,52.34976,9.299571,13.1791115,10.0,-0.17634812,1.1455266,1.391457,0.71558344,0.59100366,0.74734354,0.66657615,22.500006,1.0035415,26.352541,24.03088,0.9917526,1.8483394,408.514,89.09971,220.944,8.0,6.6514645,0.0074347984,130.7945459,-13.17904178
2019-09-15,47.337186685057944,54.52347315513698,42.259209455690865,42.259209455690865,25.851634812500006,0.016865464774652776,59.43171509297216,0.0,135.72789836148885,40.00277635821108,96.79058778440421,251.87562192345834,340.4393024305556,389.67743359654247,13.819519542603127,0.11161177,0.66610205,19.426987,0.14253066,49.40219,39.294964,52.34976,9.299571,23.047012,10.0,-0.17310473,1.0684719,0.10044725,0.0064657517,0.12799805,0.88998884,0.66599333,25.131733,1.0476367,27.907331,26.355179,0.9634069,1.8483394,408.76,89.09971,220.944,9.0,6.6514645,0.015124779,130.7945459,-13.17904178
2019-10-15,39.792040881529495,69.88887537604649,64.60182803411493,64.60182803411493,27.768189112903226,0.013983678731854837,66.98445472705785,14.799999999999999,135.54808286415928,59.17975106948342,94.33841457499476,239.59276904730442,365.44191713709677,385.0188405506689,12.625322792554831,0.097186565,0.5084667,21.409891,0.18963054,54.01123,39.294964,52.34976,9.299571,24.647705,10.0,-0.16076803,1.0600178,44.992752,0.7268848,0.5856125,0.9927275,0.66218626,25.438662,1.0403149,29.860765,29.363525,1.0020128,1.8483394,408.908,89.09971,220.944,10.0,6.6514645,0.14882624,130.7945459,-13.17904178
