time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,LAI_anom_RS,kNDVI_anom_RS,FPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_anom_RS,vpd_RS,tavg_anom_RS,SOC_RS,CO2_RS,x_coord,y_coord
2017-05-15 00:30:00,-20.67540087149478,114.37428467242692,90.21887624620878,90.21887624620878,25.33597516129032,0.03638803670698925,50.4466675165312,0.0,110.39075447400201,82.64674236771873,26.741492025054455,217.29685928601143,377.93459012096775,401.4436850563137,16.359033893136036,1.2597574,1.2553619,53.368343,35.6922,9.665161,75.72765,15.607183,9.72751,10.0,-0.12689997,0.0,0.9801551,1.0989302,1.0825627,1.0267736,23.958408,1.0080063,0.80259156,401.902,131.3881,-14.1592
2017-06-15 00:30:00,-23.10153724608409,106.62940911588848,68.84824999561833,68.84824999561833,22.491936097222222,0.03374278264583334,44.99562607745013,0.0,88.43238761297917,65.17209343721032,28.012561315564465,201.60601166040973,355.833825,394.5014328259831,15.244056213244066,1.1820884,1.1832004,48.572247,33.95761,9.665161,75.72765,15.607183,10.719425,10.0,-0.15540655,0.0,0.26265413,1.0420872,1.0825627,1.00177,22.522484,0.9966214,0.80259156,402.207,131.3881,-14.1592
2017-07-15 00:30:00,9.0852304014,74.5155446634,58.823864354418,58.823864354418,24.999947815860217,0.03273941626344086,48.313327312605146,0.0,93.20792347783603,53.88673595430107,43.24612594086022,203.91386212254034,375.46567977150534,392.6048023439277,16.71712519182256,1.118273,1.1383158,44.21945,37.01761,9.665161,75.72765,15.607183,11.707653,10.0,-0.16934635,0.0,0.0,0.9730668,1.0808287,0.99103326,23.197351,1.085088,0.80259156,402.838,131.3881,-14.1592
2017-08-15 00:30:00,9.670043941618053,76.82908242730844,57.093766392672165,57.093766392672165,25.168174053682947,0.03049907629297124,37.6921376116076,0.0,108.73001802689407,52.30184633402794,59.12847552858473,247.2542998404235,360.7864853805114,379.1472580880856,20.360333798380907,1.097368,1.1657628,42.41019,41.347687,9.665161,75.72765,15.607183,16.09677,10.0,-0.1736604,0.0,0.0,0.97326785,1.0807499,1.0213768,27.608793,1.0277355,0.80259156,403.397,131.3881,-14.1592
2017-09-15 00:30:00,-25.41539954783999,92.6153627494781,42.58923509324708,42.58923509324708,27.933311131944446,0.027633133479166665,41.55151351448335,0.0,126.16363039500001,40.31518025647802,75.91103279139138,263.89216632993754,387.49786291666663,372.001279835689,22.573239983444555,1.0618268,1.0851945,40.480812,44.312103,9.665161,75.72765,15.607183,15.889135,10.0,-0.17083502,0.0,0.0,0.23979731,1.0614661,1.0332803,32.367294,0.9932606,0.80259156,403.611,131.3881,-14.1592
2017-10-15 00:30:00,21.805688966968333,93.72832947700277,67.44273538227264,67.44273538227264,30.06642231854839,0.05500936035618279,57.60046453689457,99.0,158.7965995732347,61.78221906135908,65.30826928677355,266.3947170328121,426.0420338709677,406.80585905888125,18.589433286064807,1.1276541,1.2852618,44.865902,43.612885,9.665161,75.72765,15.607183,11.668545,10.0,-0.1268402,1.138578,0.93745935,0.74228656,1.0730926,0.9688487,30.54265,1.0317963,0.80259156,403.738,131.3881,-14.1592
2017-11-15 00:30:00,-69.71436841776882,225.94983666561717,126.20453153723405,126.20453153723405,28.27997730697604,0.08020980553888263,66.99469249595592,141.6,190.91298006510536,119.46583278540028,39.33465443522105,284.8224379117372,423.6456209570556,403.7789663049342,13.013964942133294,1.2835695,1.2811265,49.852528,39.36554,9.665161,75.72765,15.607183,8.999565,10.0,-0.084156625,1.6993494,1.5614762,1.5415692,1.1480988,0.9683344,22.582973,0.9749923,0.80259156,403.846,131.3881,-14.1592
2017-12-15 00:30:00,-74.50720745816801,243.04056816735087,142.88537449058202,142.88537449058202,28.432932822580643,0.08341540905913979,70.84318571525344,293.599997,193.4867207274177,130.89290428990893,24.217844013314956,278.0630277609217,426.83096505376346,412.8565564332522,11.60199311460844,1.3967853,1.2377967,55.4716,37.753326,9.665161,75.72765,15.607183,7.496374,10.0,-0.06676536,0.71420497,1.0256684,1.0121956,1.0325767,1.059305,20.525581,0.9993576,0.80259156,403.857,131.3881,-14.1592
2018-01-15 00:30:00,-34.48647177605526,234.16229432771422,133.77409992062755,133.77409992062755,26.287073217967784,0.10675264153945777,84.8528253715822,759.599997,168.2728802677635,122.54634541713402,21.298071371801438,225.06606349287426,433.5500311141242,407.9172087584941,5.297900363914754,0.9168037,1.0279112,40.653458,38.308167,11.360904,81.81622,7.579521,9.775061,10.0,-0.055198442,2.1124005,1.509168,1.4876956,1.2737082,0.90135264,11.127955,0.97226197,0.80259156,403.901,131.3881,-14.1592
2018-02-15 00:30:00,-58.99406705078189,220.58993904482185,123.46331268825746,123.46331268825746,27.111816242559524,0.09356583631696429,80.54195701990741,241.79999899999999,183.49055647925616,125.21890873508121,26.225545141362474,251.83781653519344,429.15247656250006,406.5869758234034,7.153145403163362,1.1972678,1.0611272,53.696888,32.777985,11.360904,81.81622,7.579521,3.6427174,10.0,-0.051972326,0.6279862,1.2112043,1.2623049,1.2017956,0.9992935,12.575991,1.0006584,0.80259156,403.963,131.3881,-14.1592
